County,State,Year,Price
Skagit County,WA,2007,194.33333333333334
Saint Marys County,MD,2007,182.58333333333334
Cowlitz County,WA,2007,132.75
Cecil County,MD,2007,164.25
Hanover County,VA,2007,143.41666666666666
Wicomico County,MD,2007,124.08333333333333
Roanoke City,VA,2007,92.33333333333333
Portsmouth City,VA,2007,129.0
Montgomery County,VA,2007,115.25
Roanoke County,VA,2007,114.58333333333333
Grant County,WA,2007,110.75
Calvert County,MD,2007,223.41666666666666
Suffolk City,VA,2007,140.16666666666666
Island County,WA,2007,201.0
Frederick County,VA,2007,162.41666666666666
Franklin County,WA,2007,83.08333333333333
Lynchburg City,VA,2007,77.83333333333333
Lewis County,WA,2007,124.66666666666667
Allegany County,MD,2007,72.33333333333333
Augusta County,VA,2007,127.33333333333333
Grays Harbor County,WA,2007,108.41666666666667
Chelan County,WA,2007,181.25
Clallam County,WA,2007,175.58333333333334
Bedford County,VA,2007,123.33333333333333
James City County,VA,2007,156.91666666666666
York County,VA,2007,151.5
Fauquier County,VA,2007,203.25
Pittsylvania County,VA,2007,77.58333333333333
Mason County,WA,2007,163.0
Walla Walla County,WA,2007,135.66666666666666
Franklin County,VA,2007,119.75
Washington County,VA,2007,88.25
Henry County,VA,2007,64.08333333333333
Worcester County,MD,2007,270.5
Harrisonburg City,VA,2007,133.5
Queen Annes County,MD,2007,201.5
Culpeper County,VA,2007,166.16666666666666
Whitman County,WA,2007,
Stevens County,WA,2007,106.5
Charlottesville City,VA,2007,211.83333333333334
Shenandoah County,VA,2007,144.41666666666666
Okanogan County,WA,2007,108.75
Kittitas County,WA,2007,174.66666666666666
Douglas County,WA,2007,163.41666666666666
Talbot County,MD,2007,182.75
Warren County,VA,2007,177.16666666666666
